,Image,whaleID,x,y,width,height
0,w_7812.jpg,whale_48813,1424.036268,1017.569223,459.728244,412.073487
1,w_4598.jpg,whale_09913,1257.01878914,1124.47599165,461.762004175,401.903966597
2,w_3828.jpg,whale_45062,1057.65517241,774.620689655,387.310344828,394.75862069
3,w_8734.jpg,whale_74162,1513.55323591,996.208768267,333.494780793,299.290187891
4,w_3251.jpg,whale_99558,1508.132898,838.163079,311.157531,297.141426
5,w_8063.jpg,whale_59255,1484.57366744,705.671788111,322.878129466,302.906286406
6,w_5624.jpg,whale_87291,1267.74223393,897.007530223,428.262502553,383.518659003
7,w_825.jpg,whale_33152,1620.96551724,824.827586207,523.586206897,487.724137931
8,w_3974.jpg,whale_88147,1638.62068966,834.206896552,908.689655172,811.862068966
9,w_3049.jpg,whale_77693,1670.977536,505.953357513,502.624717003,472.666952414
10,w_6660.jpg,whale_74625,2368.55172414,893.793103448,782.068965517,811.862068966
11,w_3909.jpg,whale_06069,1581.96242171,923.524008351,410.455114823,380.526096033
12,w_2632.jpg,whale_62939,1904.76826722,1053.39457203,663.782881002,634.922755741
13,w_7754.jpg,whale_67036,964.386566941,1232.27172442,601.067322104,579.301653058
14,w_1681.jpg,whale_78785,1496.45093946,761.052192067,414.730688935,389.077244259
15,w_4130.jpg,whale_75682,1637.54488518,761.052192067,397.628392484,320.668058455
16,w_1194.jpg,whale_08017,1112.27586207,675.310344828,472.275862069,419.310344828
17,w_5390.jpg,whale_23574,1624.71816284,944.901878914,453.21085595,406.17954071
18,w_8923.jpg,whale_06069,1534.34482759,834.206896552,454.344827586,454.344827586
19,w_8790.jpg,whale_46169,1009.03549061,1299.77453027,517.344467641,538.722338205
20,w_4522.jpg,whale_11242,2167.44827586,1050.20689655,871.448275862,774.620689655
21,w_6695.jpg,whale_03227,1237.02668597,989.149201186,417.850617207,408.407665406
22,w_1052.jpg,whale_24815,1213.79310345,317.793103448,423.724137931,419.310344828
23,w_7212.jpg,whale_36231,1573.11156078,652.16936565,371.53891134,332.01349524
24,w_735.jpg,whale_89615,1359.63256785,1094.54697286,273.636743215,260.810020877
25,w_3805.jpg,whale_64989,1021.4922449,1144.2677551,795.585306122,712.097959184
26,w_707.jpg,whale_52342,1261.29436326,889.319415449,427.557411273,444.659707724
27,w_9271.jpg,whale_63948,1065.22398,1334.333196,501.776559,484.957233
28,w_7097.jpg,whale_80947,1538.6112,881.28,232.2432,234.3168
29,w_3779.jpg,whale_80247,1370.48275862,1929.10344828,923.586206897,856.551724138
30,w_5312.jpg,whale_11076,851.980005853,99.2598065072,905.745734378,876.79495748
31,w_6038.jpg,whale_70138,2150.07933194,1082.25469729,822.513569937,800.868475992
32,w_5859.jpg,whale_11242,2480.02223319,1404.41708487,874.974136206,791.377881154
33,w_6731.jpg,whale_07863,2568.55114823,1818.18789144,634.922755741,634.922755741
34,w_4144.jpg,whale_36300,1598.74996543,1192.26249785,262.932413974,231.199191597
35,w_4817.jpg,whale_64634,1509.2776618,833.736951983,384.801670146,376.250521921
36,w_2319.jpg,whale_22448,1958.21294363,893.594989562,419.006263048,397.628392484
37,w_446.jpg,whale_68116,1090.27139875,778.154488518,483.139874739,474.588726514
38,w_8673.jpg,whale_30331,769.3947,554.6799,524.8584,459.2511
39,w_5770.jpg,whale_88147,2398.34482759,789.517241379,849.103448276,811.862068966
40,w_133.jpg,whale_64006,1409.36055634,849.865662117,344.667740747,330.503313045
41,w_3003.jpg,whale_54796,932.075156576,632.784968685,560.100208768,525.895615866
42,w_5033.jpg,whale_48415,1140.49209793,948.063390046,1121.71856545,966.836922522
43,w_6015.jpg,whale_09181,1142.24634656,729.386221294,271.799582463,251.1565762
44,w_6511.jpg,whale_86041,769.703613596,439.092665474,656.056100179,650.890304114
45,w_2935.jpg,whale_81818,743.07782268,833.98627971,640.31174082,577.07107506
46,w_4664.jpg,whale_99573,992.008893278,1097.89748301,757.939379134,679.916207752
47,w_5938.jpg,whale_47734,955.319826358,535.911122103,702.343147601,645.756258932
48,w_8430.jpg,whale_58010,1453.69519833,1120.20041754,324.943632568,299.290187891
49,w_9105.jpg,whale_23525,938.676623808,1011.90671503,659.070820971,565.868886693
50,w_6365.jpg,whale_48490,2074.47533862,1051.31781866,619.526571713,530.352292451
