Image,whaleID,bonnet_tip_x,bonnet_tip_y,blowhead_x,blowhead_y
w_7812.jpg,whale_48813,1668.2113659,1370.09770688,1647.79262213,1108.73778664
w_4598.jpg,whale_09913,1639.62512463,1212.87337986,1353.76271186,1265.96211366
w_3828.jpg,whale_45062,1118.94715852,908.634097707,1345.59521436,963.764705882
w_8734.jpg,whale_74162,1690.67198405,1223.08275174,1682.50448654,1069.94217348
w_3251.jpg,whale_99558,1655.96011964,1071.98404786,1662.08574277,878.005982054
w_8063.jpg,whale_59255,1604.91326022,765.702891326,1639.62512463,875.964107677
w_5624.jpg,whale_87291,1363.97208375,951.513459621,1568.15952144,1133.24027916
w_825.jpg,whale_33152,2033.22831505,966.540378863,1707.1665005,1108.61016949
w_3974.jpg,whale_88147,1722.83150548,1454.06979063,2053.61515454,1106.05782652
w_3049.jpg,whale_77693,2115.38185444,622.771684945,1833.60319043,657.483549352
w_6660.jpg,whale_74625,2508.44267198,1081.93818544,3028.73778664,1429.95014955
w_3909.jpg,whale_06069,1925.48753739,1157.74277168,1678.42073779,1031.14656032
w_2632.jpg,whale_62939,2060.50648056,1240.43868395,2398.18145563,1233.54735793
w_7754.jpg,whale_67036,1314.9670987,1751.92821535,1276.17148554,1384.39082752
w_1681.jpg,whale_78785,1633.4995015,898.424725823,1747.8444666,1029.10468594
w_4130.jpg,whale_75682,1823.39381854,839.210368893,1911.19441675,969.890329013
w_1194.jpg,whale_08017,1153.65902293,812.666001994,1472.19142572,894.340977069
w_5390.jpg,whale_23574,1717.21635095,1084.23529412,1956.11565304,1204.70588235
w_8923.jpg,whale_06069,1900.98504487,1106.69591226,1668.2113659,953.555333998
w_8790.jpg,whale_46169,1257.79461615,1574.28514457,1253.7108674,1357.84646062
w_4522.jpg,whale_11242,2704.84546361,1257.666999,2277.58325025,1698.71186441
w_6695.jpg,whale_03227,1608.99700897,1172.03589232,1310.88334995,1108.73778664
w_1052.jpg,whale_24815,1506.90329013,590.101694915,1310.88334995,404.29112662
