,Image,whaleID,label
0,w_7812.jpg,whale_48813,222
1,w_4598.jpg,whale_09913,44
2,w_3828.jpg,whale_45062,203
3,w_8734.jpg,whale_74162,329
4,w_3251.jpg,whale_99558,445
5,w_8063.jpg,whale_59255,266
6,w_5624.jpg,whale_87291,391
7,w_825.jpg,whale_33152,143
8,w_3974.jpg,whale_88147,396
9,w_3049.jpg,whale_77693,344
10,w_6660.jpg,whale_74625,332
11,w_3909.jpg,whale_06069,21
12,w_2632.jpg,whale_62939,276
13,w_7754.jpg,whale_67036,301
14,w_1681.jpg,whale_78785,351
15,w_4130.jpg,whale_75682,339
16,w_1194.jpg,whale_08017,31
17,w_5390.jpg,whale_23574,105
18,w_8923.jpg,whale_06069,21
19,w_8790.jpg,whale_46169,208
20,w_4522.jpg,whale_11242,51
21,w_6695.jpg,whale_03227,6
22,w_1052.jpg,whale_24815,112
23,w_7212.jpg,whale_36231,159
24,w_735.jpg,whale_89615,407
25,w_3805.jpg,whale_64989,289
26,w_707.jpg,whale_52342,239
27,w_9271.jpg,whale_63948,279
28,w_7097.jpg,whale_80947,362
29,w_3779.jpg,whale_80247,360
30,w_5312.jpg,whale_11076,49
31,w_6038.jpg,whale_70138,315
32,w_5859.jpg,whale_11242,51
33,w_6731.jpg,whale_07863,30
34,w_4144.jpg,whale_36300,160
35,w_4817.jpg,whale_64634,285
36,w_2319.jpg,whale_22448,99
37,w_446.jpg,whale_68116,307
38,w_8673.jpg,whale_30331,135
39,w_5770.jpg,whale_88147,396
40,w_133.jpg,whale_64006,280
41,w_3003.jpg,whale_54796,249
42,w_5033.jpg,whale_48415,218
43,w_6015.jpg,whale_09181,40
44,w_6511.jpg,whale_86041,383
45,w_2935.jpg,whale_81818,365
46,w_4664.jpg,whale_99573,446
47,w_5938.jpg,whale_47734,213
48,w_8430.jpg,whale_58010,259
49,w_9105.jpg,whale_23525,104
50,w_6365.jpg,whale_48490,219
51,w_2577.jpg,whale_02411,2
52,w_8281.jpg,whale_80247,360
